"시점","항목",총액,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,음료 및 담배,음료 및 담배,음료 및 담배,비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,동식물성 유지 및 왁스,동식물성 유지 및 왁스,동식물성 유지 및 왁스,동식물성 유지 및 왁스,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물
"시점","항목",소계,소계,중분류 03의 동물을 제외한 산 동물,고기 및 고기조제품,낙농품 및 새알,물고기갑각류 연체동물 및 수생무척추동물,곡식 및 곡식가공품,채소 및 과실,설탕설탕조제품 및 벌꿀,커피차코코아향신료 및 동제품,동물사료,기타 식용제품 및 조제품,소계,음료,담배 및 담배제품,소계,원피 및 모피,기름용씨 및 기름함유 열매,생고무(합성 및 재생고무 포함),콜크 및 나무,펄프 및 폐지,섬유 및 그 웨이스트,미가공 비료 및 미가공 광물,금속성 광석 및 금속 부스러기,달리 명시되지 않은 미가공 동식물성 물질,소계,석탄코크 및 연탄,석유석유제품 및 관련물질,천연가스 및 제조가스,전력,소계,동물성 유지,불휘발성 식물성기름조유정제 또는 분획된 것,달리 분류되지 않은 동식물성유지 처리한 것,소계,유기화학물,무기화학물,염료유연제 및 착색제,의약품 및 약제제품,정유 및 향료,비료,플라스틱(원료형태의 것),원료형태가 아닌 플라스틱,달리 명시되지 않은 화학물질 및 제품,소계,가죽제품 및 손질모피,달리 명시되지 않은 고무제품,코크 및 나무제품,종이판지 및 펄프,섬유사직물직물제품,달리 명시되지 않은  비금속광물,철 및 강,비철금속,달리 명시되지 않은 금속제품,소계,원동기기 및 설비,특수산업용 기계,금속공작용 기계,산업용 일반기계 및 장비,사무용 기계 및 자동자료 처리장치,통신 및 녹음기기, 전기기계장치와 기기,도로 주행 차량,기타 수송장비,소계,조립식건축물 달리 명시되지 않은 위생연관 및 부착물,가구 및 부분품;침대에트리스쿠션,여행용 핸드백 및 유사용기,의복제품 및 의복부속품,신발,달리 명시되지 않은 전문과학통제기구 및 장치,달리 명시되지 않은 사진장치 및 광학용품 휴대시계 및 큰시계,달리 분류되지 않은 잡제품,소계,종류에 따라 분류 할 수 없는 특수취급물,주화(금화 및 법화 제외),금(금광 및 그정광 제외),달리 분류되지 않은 상품 및 취급물
"2018. 05","수입액 (천달러)",44458729,2407381,8055,471640,84990,490806,360590,380443,100729,99060,228495,182573,132286,83184,49102,2526878,32207,71485,88780,196521,178649,76515,83045,1704063,95612,11616170,1293877,8652602,1669692,-,112466,4807,99714,7945,4736724,1188470,787869,244561,593346,242979,63715,510205,313703,791875,4584400,36246,129087,143173,198601,523134,494800,1315241,1029951,714166,14013312,695080,2228095,141967,1530050,1088961,1410348,5139585,1543335,235892,4247221,77673,233236,209845,641177,264808,1540353,408562,871567,81892,-,65,81209,618
"2018. 06","수출액 (천달러)",51079375,456419,340,6825,10405,135768,35781,43502,26951,21791,15224,159832,189498,78778,110720,608270,278,865,267075,1946,14075,150872,24151,84998,64009,4212669,127,4172504,40038,-,5903,1080,3487,1335,6715523,2038484,431854,209798,310462,612989,36261,2021686,588972,465016,6204564,56092,408473,5673,289296,876854,269204,2293928,967272,1037772,29021107,731783,2210591,300520,1785966,1893200,1996269,13513104,5160207,1429466,3614892,72964,99246,21967,213883,44651,1871661,466964,823556,50530,-,21,43077,7432
"2018. 06","수입액 (천달러)",45000164,2278648,7351,465968,77218,437073,365766,355699,104791,97836,212506,154440,130200,85273,44927,2816813,36132,51535,94490,183660,182711,73757,83659,2044231,66637,12822231,1304833,9257158,2260240,-,101177,6328,87249,7601,4381949,1112563,675178,233243,598902,224039,45318,479376,298651,714679,4407075,35134,125181,147585,181130,477098,463637,1296241,1028745,652324,13694661,677280,1830067,141673,1442087,1019400,1316835,5273648,1529820,463850,4271321,65793,211368,201726,704468,260870,1596990,409183,820923,96088,-,82,95426,580
"2018. 07","수출액 (천달러)",51810255,459582,177,4867,9663,158523,34609,50994,24514,21739,14092,140404,144016,87158,56859,670338,535,297,267916,2006,13846,163129,25263,143661,53684,4074650,29,4035586,39035,-,4820,695,2818,1307,6901166,2102357,509193,222337,314806,571934,23675,2080766,601646,474452,7043745,55654,430793,6489,295130,856164,275634,2517480,1095019,1511383,28979848,820706,2302762,326329,1987383,1533498,2065665,13356064,4859017,1728425,3482727,75255,111544,23396,186061,47470,1815679,467271,756051,49362,-,29,40336,8996
"2018. 07","수입액 (천달러)",44917044,2269624,8068,433728,89367,428997,406454,319395,92424,94776,219465,176949,138682,86966,51716,2552413,36268,76399,90223,183263,169470,76864,93967,1743990,81968,12388966,1347859,9322671,1718436,-,96457,3489,86205,6764,4785807,1274708,781663,255586,603241,232120,53999,476616,315260,792614,4285417,44421,124459,137845,185528,485760,471229,1137545,1045195,653437,13793701,677227,1402063,179788,1513468,1131642,1445046,5491682,1340363,612422,4485140,67120,213012,218722,875117,265136,1575940,461691,808400,120835,1,45,120441,349
"2018. 08","수출액 (천달러)",51180449,457078,253,5477,8040,135197,34679,53934,29143,24451,14492,151413,143208,77678,65530,586362,352,524,276016,1630,17641,164848,24543,61666,39142,4386307,4440,4343068,38800,-,6048,971,3428,1649,7019256,2195239,462083,218421,335120,576133,37165,2064423,634504,496168,6439244,46831,368301,5875,286576,747099,275384,2477075,1024959,1207144,28445035,764986,2077611,285000,1639508,1737923,2074952,14696684,4422191,746181,3655429,63286,98521,27434,169862,44191,2070988,518307,662840,42481,-,33,36085,6364
"2018. 08","수입액 (천달러)",44360778,2170306,4044,487439,84100,422593,305676,284174,88694,101061,221063,171460,144237,89824,54413,2641881,21176,62453,93180,186008,187705,74731,91482,1835422,89723,12598641,1427560,9307820,1863262,-,99258,4000,88989,6269,4689894,1234248,836458,226491,601630,217899,39326,467677,305315,760850,4320350,38221,128996,142075,179012,451276,455984,1286093,1009924,628768,12933807,591278,1320252,143470,1278311,1063234,1349728,5388866,1447721,350946,4624919,65713,216533,190714,1095690,231995,1419766,487432,917075,137485,1,50,136242,1192
"2018. 09","수출액 (천달러)",50650208,417047,137,4875,7511,112763,34181,56891,26876,23338,14333,136143,126025,60246,65779,587962,314,925,255851,1437,15445,151727,20612,105512,36140,4395535,29,4349533,45973,-,3829,446,2172,1212,6423005,2129355,381413,193494,267959,550111,24419,1854189,582779,439286,5587604,47775,359416,4294,252111,691797,240010,2266359,866184,859659,29339895,658886,2138617,281539,1604546,1398034,1850575,15213266,4455795,1738637,3732665,59192,90132,17129,155016,39439,1842654,473431,1055673,36641,-,30,34348,2263
"2018. 09","수입액 (천달러)",41032928,1971729,6509,436221,62523,439787,273372,255133,88335,86874,180270,142705,121396,79247,42149,2232529,18029,69173,74658,172994,174354,57758,74324,1522764,68474,11910662,1457656,8288470,2164537,-,84906,3387,77301,4218,4236830,1189210,697625,212060,515766,200045,39539,425492,280077,677015,3963299,33392,114911,135055,162636,416615,411739,1170427,915864,602661,11971557,558574,1727442,139269,1174190,1027866,1244229,4910841,887132,302016,4440749,64352,200582,173315,1172975,242311,1311034,476417,799762,99270,0,94,97103,2073
"2018. 10","수출액 (천달러)",54860310,532135,382,6257,7357,151972,41363,78666,31123,29174,15074,170769,133554,68405,65150,609390,417,116,280614,2565,18242,177095,27226,63423,39694,4700963,5027,4632509,63427,-,6686,1295,3105,2286,7213210,2309542,445183,228124,364468,641605,26276,2059165,663014,475832,6258907,54819,411110,5979,312692,821434,302743,2279565,1021033,1049532,31218042,881470,2168287,367400,1874209,1470443,2373062,14574674,5751560,1756937,4136953,70641,107759,23486,175816,45897,2028676,536666,1148011,50470,-,29,44113,6328
