,행정구역,2019년12월_계_0세,2019년12월_계_1세,2019년12월_계_2세,2019년12월_계_3세,2019년12월_계_4세,2019년12월_계_5세,2019년12월_계_6세,2019년12월_계_7세,2019년12월_계_8세,2019년12월_계_9세,2019년12월_계_10세,2019년12월_계_11세,2019년12월_계_12세,2019년12월_계_13세,2019년12월_계_14세,2019년12월_계_15세,2019년12월_계_16세,2019년12월_계_17세,2019년12월_계_18세,2019년12월_계_19세,2019년12월_계_20세,2019년12월_계_21세,2019년12월_계_22세,2019년12월_계_23세,2019년12월_계_24세,2019년12월_계_25세,2019년12월_계_26세,2019년12월_계_27세,2019년12월_계_28세,2019년12월_계_29세,2019년12월_계_30세,2019년12월_계_31세,2019년12월_계_32세,2019년12월_계_33세,2019년12월_계_34세,2019년12월_계_35세,2019년12월_계_36세,2019년12월_계_37세,2019년12월_계_38세,2019년12월_계_39세,2019년12월_계_40세,2019년12월_계_41세,2019년12월_계_42세,2019년12월_계_43세,2019년12월_계_44세,2019년12월_계_45세,2019년12월_계_46세,2019년12월_계_47세,2019년12월_계_48세,2019년12월_계_49세,2019년12월_계_50세,2019년12월_계_51세,2019년12월_계_52세,2019년12월_계_53세,2019년12월_계_54세,2019년12월_계_55세,2019년12월_계_56세,2019년12월_계_57세,2019년12월_계_58세,2019년12월_계_59세,2019년12월_계_60세,2019년12월_계_61세,2019년12월_계_62세,2019년12월_계_63세,2019년12월_계_64세,2019년12월_계_65세,2019년12월_계_66세,2019년12월_계_67세,2019년12월_계_68세,2019년12월_계_69세,2019년12월_계_70세,2019년12월_계_71세,2019년12월_계_72세,2019년12월_계_73세,2019년12월_계_74세,2019년12월_계_75세,2019년12월_계_76세,2019년12월_계_77세,2019년12월_계_78세,2019년12월_계_79세,2019년12월_계_80세,2019년12월_계_81세,2019년12월_계_82세,2019년12월_계_83세,2019년12월_계_84세,2019년12월_계_85세,2019년12월_계_86세,2019년12월_계_87세,2019년12월_계_88세,2019년12월_계_89세,2019년12월_계_90세,2019년12월_계_91세,2019년12월_계_92세,2019년12월_계_93세,2019년12월_계_94세,2019년12월_계_95세,2019년12월_계_96세,2019년12월_계_97세,2019년12월_계_98세,2019년12월_계_99세,2019년12월_계_100세 이상,Unnamed: 104
0,서울특별시,0.005256905901024627,0.005630424251681064,0.006077433417064896,0.006756426874532267,0.007196241134977753,0.007106407607604686,0.007095306897128379,0.007828056572920824,0.007529879155404499,0.007637391592054646,0.007233757425013416,0.007701631814718453,0.008216787008304052,0.007577776665422633,0.007357509789952973,0.008189549153894598,0.008457816323738654,0.008507152814744456,0.009519989861351098,0.01147710678893757,0.01138100341583251,0.01204221517966654,0.01314056881068324,0.01413675479157542,0.01528331428567905,0.01626850234045119,0.01678653549601212,0.01757191076221076,0.01729716817792219,0.01581008411152226,0.01536060812158814,0.01524990936989387,0.01465180720080476,0.01458910874348488,0.01475541383191695,0.0145394638994103,0.01589734802998877,0.01679917797183236,0.01683474135909904,0.01652258526913107,0.01623386401239086,0.01376621718725059,0.01490373165800314,0.01465797426218049,0.014968383018092,0.01622574404824615,0.01684275853888749,0.01718996409434083,0.01813506625017075,0.01752092972150476,0.01726396883084953,0.01685889568282063,0.01575201095023418,0.01447183179298984,0.01539123785975424,0.01529328436823647,0.01460987118344983,0.01573001509799409,0.01617332402655249,0.01674017975133792,0.01566474703176766,0.01459116443061013,0.01453987503683534,0.01323389700616922,0.01398576457222641,0.01181804249865892,0.01043076204218948,0.0113108017005055,0.007905967114967489,0.008812011215417817,0.008863608962261387,0.008725672356157661,0.008912945453267191,0.007177123244713004,0.006282179854738981,0.006345495018196428,0.006160688745637189,0.007230365541256767,0.005762296580765327,0.004853066165270872,0.004709065282147683,0.004059879287996318,0.003588099092753323,0.003152807343983369,0.002871692129606551,0.002327551747555043,0.001913022438750031,0.001647941583950099,0.001298063635233943,0.001103081711404757,0.0009801516213152964,0.0007947286426184849,0.0006285263385426844,0.000437655788963982,0.0003296294305325247,0.0002519244571983842,0.0002487381421542594,0.0001801809765274449,0.0001275553861212545,0.0001004203160680626,0.000641785520500494,
1,부산광역시,0.004826821167125241,0.005616254535580303,0.006268891843527569,0.007150596644659198,0.007762517352155534,0.007654135034408456,0.007576216935703801,0.008367407855257466,0.008102896414917977,0.007949110693790368,0.007301453113955805,0.007683427552718477,0.008103482265284177,0.007296180460660002,0.007186040591814323,0.007877344023930815,0.008343387990243247,0.008411053707539397,0.009653349409067383,0.01111240974608952,0.01100900715645515,0.01173048188243096,0.01253544028559034,0.01336559025449633,0.01366027298869514,0.01371475707275178,0.01349125515804632,0.01363244509630062,0.01302608996728319,0.01159368582192316,0.01163352364682479,0.01125711478654103,0.01091204892084898,0.01102248171487776,0.01139156744558402,0.0117876022931355,0.0134607909390039,0.01481674161157476,0.01564835620639626,0.01570020396380499,0.01542133918949359,0.01320741065562222,0.01392566320458393,0.01331081324525659,0.01426047668886747,0.01539204667118357,0.01605991608865205,0.01626144861462499,0.01698321626578391,0.01684905653192401,0.01704355885350255,0.01722780879367258,0.016550858695528,0.01538911741935257,0.01606548166713095,0.01586922179445381,0.01577958668842515,0.01805239318409967,0.01913358003492254,0.01969277420946084,0.01832891455694627,0.01720144552719356,0.01751165329609668,0.01607104724560986,0.01712909300696781,0.01435069764526233,0.01267955947567564,0.01365880836277964,0.0109410485139759,0.01071315272152394,0.01091556402304618,0.01072486972884795,0.01026937106912712,0.008060422263368446,0.006835994998009573,0.007638609999704145,0.007556298023252987,0.008339579962862945,0.006869974319249197,0.006012289383131786,0.005705596716425868,0.004775852185265805,0.004259132162277036,0.003735089009710763,0.003345205591004385,0.002793920396409792,0.002207484179843174,0.001920417500404969,0.001504756665585773,0.001191033794485449,0.001063025489470658,0.0008562203102019104,0.0006792934996093842,0.0004121457326219938,0.0003342276339173383,0.0002425420516069729,0.000204754702987046,0.0001575937485079123,9.988748743717121e-05,7.088789431025053e-05,0.0005243360777493738,
2,대구광역시,0.005289514366306253,0.005973673017283209,0.006730021070281715,0.007707449166971215,0.008264045863239639,0.008221388489317815,0.008222618990488637,0.009151237207402203,0.008879296448650572,0.008800134206661031,0.008305472735990641,0.008744351486917106,0.009458042165993788,0.008579054162970036,0.008631555546258435,0.009291924507932836,0.01005606573501321,0.009853853375941487,0.0114584269026932,0.01291205895249076,0.01256546778937593,0.01286571007505647,0.01381032480719072,0.01392558175019104,0.01415896680559025,0.01383206366120857,0.0134637336440759,0.01355027889309037,0.01291985212657263,0.01165489692296776,0.01163602923834849,0.01084850848902249,0.01086983717598341,0.01098099244841431,0.01136736981605238,0.01140100351472151,0.01321476224051294,0.01471023133011844,0.0152237604854081,0.01525288234645089,0.0153246615814155,0.01317989804067299,0.01459825572357366,0.01456052035433512,0.01540464415751892,0.01649445802781015,0.01734596483801888,0.01781191461470342,0.01848951059276933,0.01814456009788227,0.01840050434141322,0.01888368113448927,0.01793906640235501,0.01642596012930106,0.01723850106910043,0.01685622537203178,0.01591776314575163,0.01788697518612356,0.01847556491283335,0.01762939027436485,0.01741610340475572,0.01448422928174416,0.01506092416380267,0.01375290141921903,0.01392845291958962,0.01156712117278246,0.01085425082781966,0.01176605219539866,0.008972404370576092,0.008855916926404955,0.009156979546199371,0.009064691958387732,0.008476922565791821,0.006025354066457727,0.005424049160982777,0.006384250241280772,0.006589333769751082,0.007403515377778215,0.006052425092215809,0.005196816611437672,0.005276799187541093,0.004430624549072591,0.004008562647480693,0.003572965233009753,0.003230475740464334,0.002765346297893669,0.002176756571183877,0.001909737817115533,0.001451581214512859,0.001143135587693512,0.0009007268570416045,0.0007616802247387338,0.0005783355502862761,0.0003675096830187967,0.0003006524527374754,0.0002013920249578451,0.0001546329804666142,0.0001214094488544239,8.859608429917421e-05,5.783355502862761e-05,0.0002780932646057413,
3,인천광역시,0.00595733686480944,0.00654407502673294,0.007057428646214135,0.008042201860923779,0.008772327331582475,0.008680004842703447,0.008667830448565552,0.009550812201177806,0.009429744615028749,0.009272492024080951,0.008849431827789137,0.009126737472041166,0.009758115079136943,0.008716189847502186,0.008473716497589132,0.009092243355317133,0.009586320850746663,0.009440228121091935,0.01069452889490995,0.01205163566367019,0.01182945297065362,0.01227550924476146,0.01314800749131053,0.01363058694783205,0.01424607020702557,0.01468536292883458,0.01488082959027076,0.01518214584518364,0.01470125727673683,0.01326467876846534,0.01290959227277677,0.01259948339987542,0.01231237060479008,0.01256600381599621,0.01308307738924176,0.01325723886093663,0.01511045219081604,0.01660147729509311,0.01710468558612606,0.0168923100439428,0.01673877740675936,0.01451424505567418,0.01551964710489526,0.01488082959027076,0.01576110592196349,0.01679018040423047,0.01752165858534893,0.01762277369221643,0.0183640590241682,0.01798056560882454,0.01806544819017486,0.01825415129931221,0.01693187682489096,0.01620986761699085,0.01738875478267692,0.0172085061139131,0.01629069206696187,0.01797752201029007,0.01822337713635254,0.01815033077152517,0.0164188613830247,0.01513683004478148,0.01444491864461117,0.01262349401053626,0.01289200703679981,0.01067220917232382,0.009040840357846025,0.009848070324711381,0.006417934776359761,0.007238353670207837,0.007387489998397038,0.007199463244489565,0.007335072468081106,0.005923519103315291,0.005031744732714559,0.005104114742312039,0.005078075065961544,0.005955645976734733,0.004812267460617526,0.004047647873234798,0.004101418114010495,0.003672270720649734,0.003175825981915614,0.002974948478640364,0.002709479050911287,0.002245837540826493,0.001880605716689674,0.001627310683098491,0.001296572975685706,0.001117338839766712,0.0009736133534165747,0.0007497397723253025,0.0005989125560613941,0.0004112239797688623,0.0003273559312633707,0.000246193303677411,0.0002093319436487877,0.0001460927296547274,0.0001149803890801095,7.54136081319542e-05,0.0002986108339933433,
4,광주광역시,0.005622505952756944,0.006481433165713218,0.007319076011282088,0.008467745257705628,0.00913854612665709,0.009260072998514213,0.009483902152330158,0.01058450992400794,0.01016912146370535,0.01034008299530096,0.009872513505274403,0.01022061590093294,0.01114064984606596,0.01009565606659398,0.0098340643254778,0.01072114183078516,0.01152170868155016,0.01145167624692063,0.01317639659779686,0.01486266776887649,0.01428181051694922,0.01477959007681597,0.01539615013855436,0.01501371811807743,0.01533847636885946,0.01468278053482809,0.01406553388059333,0.01409917691291535,0.01314275356547483,0.0116322500734654,0.01130955160017247,0.01110700681374393,0.01113378392110228,0.01145922876438068,0.0120153686864387,0.01261545052826427,0.01445414523353757,0.01612599796219347,0.01614522255209177,0.01610745996479154,0.01646586124789559,0.01441775583123007,0.01574287934922017,0.01568726535701436,0.01555543959771172,0.01762757575175012,0.01782394120571135,0.01788985408536267,0.01855172925186135,0.01815487878896069,0.01724720350876229,0.01816380449141347,0.01651666909262682,0.01597426102049616,0.01593306547071408,0.01489493761620578,0.01495055160841158,0.01492583427854234,0.01517850031720573,0.01638347014833144,0.01473152860207021,0.01303701832103417,0.01289077411930781,0.01086601284751879,0.01150523046163733,0.009562173696916101,0.008255588176327938,0.009199652858833837,0.007474245915461239,0.007779779576344966,0.008112090344587042,0.007429617403197324,0.007848438825981758,0.006216408462115199,0.005466649456081424,0.005446738273686754,0.005010752038493122,0.006919479178395955,0.005343749399231565,0.004476583076318876,0.004327592504607036,0.003871695087018733,0.003485143511563591,0.00290634603712543,0.002766967760362741,0.002442209509580712,0.001893622104982739,0.001595640961559059,0.00125783745334604,0.001182312278745568,0.001001738452200804,0.0007174891587044824,0.0005472142196052367,0.000397537055397029,0.000304847068387359,0.0001853799740193399,0.0002149034513631608,0.0001414380542517927,9.680954198787753e-05,6.179332467311331e-05,0.0002739504060508024,
5,대전광역시,0.005574050594289667,0.006347000074582844,0.007227077640741218,0.008179703973909564,0.008895021256110709,0.008732973075593103,0.00891129387674846,0.009681531253602013,0.00961983090035054,0.00943472984059612,0.009051645229749062,0.009602880253852883,0.01028700834649834,0.009362859099446053,0.00916012936733407,0.01015886145897604,0.01048906005275041,0.01050736675096788,0.0118444337467031,0.0133950788883088,0.01319573928549635,0.01372459945622326,0.01471044905652702,0.01502708713310326,0.01539728925261209,0.01514235152928733,0.0147192633927058,0.01493216351271637,0.0142134561012157,0.01310556184612881,0.01253873222724715,0.01233193433997573,0.01212649250442412,0.01231633974519788,0.01257331154610237,0.01252788381348865,0.01414429746350526,0.01556815176930848,0.01602581922474523,0.01577766176001953,0.01556069348484951,0.01416870639446188,0.01515930217578499,0.01511726457247079,0.01545085329554469,0.01688962417026585,0.01793785214968099,0.01758188857323018,0.01860774169926841,0.01793446202038146,0.0185629919925146,0.01848095086346593,0.01657569819712924,0.0151938814946402,0.01579732450995681,0.01562985212255995,0.01412870286872741,0.01652552428349617,0.01733712123780401,0.01711744085919437,0.01557628807962736,0.01378087560259548,0.01400326808464475,0.01279434797643182,0.01280858651948985,0.01112776041278214,0.009061815617647658,0.009771030667109644,0.007273861425074753,0.00791866401784564,0.007643385518723684,0.007540325588017927,0.007071809718822676,0.005628970688942077,0.005148928380128418,0.005406578206892811,0.005289957758988928,0.006478537091404666,0.005117739190572728,0.004009844935485839,0.004462088184043339,0.003885088177263081,0.00345318570450277,0.003132479472767091,0.002807027060012069,0.002411737983686698,0.002016448907361327,0.001727609891041244,0.001339779099174843,0.001107894255086889,0.0008963501867961244,0.0007709154027134595,0.0006047990670364167,0.0003702021195088381,0.0003071457145375525,0.0002217144561893591,0.0002074759131313268,0.0001315370168218216,8.678731006800599e-05,6.237837911137931e-05,0.0002257826113487968,
6,울산광역시,0.006379685353639617,0.007080893260477396,0.007977219889217861,0.009219359609901927,0.009862206113313456,0.009847397996026198,0.009669700588579109,0.01066097338110258,0.01012265476442463,0.0100939095955729,0.009508553429864836,0.009833460944461721,0.01041968817589256,0.009173193126594596,0.008920584066988438,0.009478066129567543,0.01002770860064163,0.009881369559214613,0.01163221166200211,0.01280727932203213,0.01241617081250397,0.01281511891353715,0.01332120809847224,0.01324281218342205,0.01348409738863207,0.01328201014094714,0.01310692593066839,0.01324368324914483,0.01307382543320276,0.0119222765476878,0.01211303994097659,0.01171844716855732,0.01169667052548782,0.01203203082875806,0.01249369566183138,0.0130764386303711,0.01488302893941651,0.01671575122014531,0.01709466480955455,0.01732288402892287,0.01677062836068044,0.01456421888487908,0.01564346931540332,0.01484557311333697,0.01539434451868828,0.01660077054473837,0.0173690505122302,0.01760772252027188,0.01881501961204475,0.01856328161816137,0.01905630481725477,0.01962946606284391,0.01866258311055827,0.01806677415617686,0.01872442877687564,0.01771312147272824,0.01648666093505421,0.01840997405095212,0.01901100939967022,0.01834725731891197,0.01678892074085882,0.01515741464209216,0.01446491739248218,0.01308689141904446,0.01309647314199504,0.01071236625874659,0.00961221025087564,0.009641826485450153,0.007438030206817135,0.00729082009966734,0.006960686190733777,0.006918003970317565,0.006331776738886726,0.004656717353981075,0.003946798789915498,0.004381460585582642,0.004392784439978781,0.004999917248756336,0.003689834401695442,0.003325728929573465,0.003257785803196637,0.002755180881152664,0.002414594183545743,0.002147177006652329,0.001959026810531882,0.001722967999658542,0.001411126470903356,0.001164614871356659,0.0009346535205427785,0.0007186292212933758,0.0006628810150354654,0.0005278658280045888,0.0003980770353103912,0.000271772505507313,0.0002247349564772012,0.0001594050272687125,0.0001358862527536565,8.44933751096454e-05,4.703754903011187e-05,3.832689180231338e-05,0.0001376283841992162,
7,세종특별자치시,0.01073772296850914,0.01187110034500477,0.01286941202378331,0.0141349188871761,0.01497761139249798,0.01420832415767452,0.01440211407179035,0.01579094178962049,0.01487190780298025,0.01486897159216032,0.01386772370256184,0.01424062247669383,0.01376789253468399,0.01252000293621082,0.01114292006166043,0.01140130661381487,0.01087572487704617,0.00985392351170814,0.009577919694634075,0.01030903618879836,0.00973353886809073,0.009627835278573001,0.009504514424135652,0.009865668354987887,0.0100418410041841,0.010511634735374,0.01049988989209425,0.0120091022535418,0.01246715114145196,0.01244072524407252,0.01321882111135579,0.01420832415767452,0.01502165455479703,0.01602290244439551,0.01682448799823827,0.0175115613301035,0.01988401967261249,0.02294061513616678,0.02264699405417309,0.02219188137708288,0.02281435807090949,0.0188416648315349,0.02007193716508845,0.01910886001614916,0.01862732144167951,0.01950524847684064,0.01899434779417162,0.01735006973500697,0.01783748073111649,0.01615209572047273,0.01508331498201571,0.01487190780298025,0.01284885854804375,0.01164501211186963,0.01198854877780225,0.01164501211186963,0.01040886735667621,0.01187110034500477,0.01238493723849372,0.01198267635616237,0.01077002128752844,0.009953754679585994,0.009848051090068267,0.0089348895250679,0.00918740365558247,0.007825001835131762,0.006075020186449387,0.006897159216031711,0.004912280701754386,0.005484841811642076,0.005437862438523086,0.004739044263378111,0.004653894149599941,0.003743668795419511,0.003262130220949864,0.003458856345885635,0.00343536665932614,0.004351464435146443,0.00353813403802393,0.002856933127798576,0.003062467885194157,0.002809953754679586,0.002407692872348235,0.002348968655949497,0.002208030536592528,0.001893855978859282,0.001647214269984585,0.001406444982749762,0.001124568744035822,0.0009513323056595463,0.0008426925053218821,0.0006547750128459224,0.0004903472069294575,0.0003288556118329296,0.000273067606254129,0.0001673640167364017,0.0001262570652572855,0.0001233208544373486,7.927769213829552e-05,3.523452983924246e-05,0.0001556191734566542,
8,경기도,0.006234296242820627,0.007130844539431735,0.007777688651662361,0.008906644623814528,0.009617689751387989,0.009523729677168594,0.009466401946997757,0.0105331962301768,0.01019731162402435,0.01011520985499181,0.009585589243716571,0.01001248823044328,0.0104519252978134,0.009504242780746885,0.009028022308115627,0.009788313390987355,0.01007691583760497,0.009996551272516996,0.011187593403036,0.01274722489222915,0.01216314671382194,0.01243399946796241,0.0129485894885868,0.01317057394046043,0.01382262966452477,0.01403864719850184,0.01399385754897442,0.01439371657865085,0.01402663783210241,0.01274986846344915,0.01263400451340691,0.01266670926592861,0.01250409187059553,0.01277698395110572,0.01346159336647918,0.01361325882390084,0.01550598028681388,0.01705964485811047,0.0176679683611354,0.01756864561386972,0.01734900261079094,0.01511118180775859,0.01632926389532787,0.01596203408756686,0.01640909974617184,0.01764591342409997,0.01826685053837461,0.01830861896365059,0.0191265398991183,0.01847153848140882,0.01843777630039912,0.0181629204241255,0.01665714225721404,0.01577320757185264,0.01643999176414269,0.01615267333783194,0.01494244643331637,0.01639089687005699,0.01657775959000778,0.01654399740899808,0.01492424355720152,0.0137401502424608,0.01306739913227418,0.01161373708369985,0.01178640004966893,0.00994096074629073,0.008447645129416407,0.009337848855099517,0.006062992827764688,0.006774037955338148,0.006777965546865004,0.006777361302014719,0.006923437494571237,0.005633374739211699,0.004963569322670225,0.004997633626105069,0.004920894530118811,0.00580656641942478,0.004767340807540009,0.004118457368939669,0.004079559106702541,0.003647977222386124,0.003280218700381112,0.002934364054198951,0.002681563114960755,0.002242503700622055,0.001824592856043347,0.001590070323526288,0.001220952250608135,0.001071326119556188,0.0009102948669551029,0.0007218460042723132,0.0005605126292460852,0.0003910974793472887,0.0003020468945364634,0.0002191898194410645,0.0001959263927050728,0.0001444900498245197,9.305370694396671e-05,6.948815778283229e-05,0.00029562679300218,
9,강원도,0.005338299917872309,0.005590002478102526,0.006012966574159489,0.006836189638417595,0.007288994759656491,0.007270181939433099,0.00744793065464722,0.008433981921528484,0.008400248588714125,0.008452146023813138,0.00810054090101732,0.00832629474369803,0.009032748578983354,0.0081225973109344,0.00830942807729085,0.008914681914133098,0.00935191780484229,0.009794343439061383,0.01085564598683622,0.01247679211574166,0.01211480750592604,0.01246187160315069,0.01275509211146012,0.01252544596114698,0.01241581262950032,0.01184818443310486,0.01135580751760296,0.01129028700579046,0.01076742034716789,0.009949387026419686,0.00967822292802734,0.009742446003962369,0.009488797289915939,0.009628920364683276,0.01018876394581389,0.0102062793301598,0.01181834340792292,0.01315664851553874,0.01331558441052947,0.01349203568986612,0.01344597671621574,0.01260653570348919,0.01322346646322872,0.01321049210445397,0.01387088696608892,0.01547386899270971,0.01641775359357302,0.01605252539406371,0.01694321512395053,0.01685239461252726,0.01744337665471728,0.01788904587863006,0.01640737410655322,0.01640672538861448,0.01622508436576793,0.0164294305164703,0.01632239205657858,0.01864285612344324,0.01988125866849346,0.01988774584788083,0.01909566124468214,0.01797532536448217,0.01804084587629468,0.01609404334214292,0.01611804590587622,0.01432304336938908,0.01189618956057144,0.0143613177277746,0.008083025516671402,0.008733689609225288,0.00892571011909164,0.00954718190440233,0.009930574206196294,0.008522207561196806,0.008402194742530338,0.008570861406602133,0.008443712690609548,0.009653571646355307,0.008416466537182567,0.007807320392707892,0.007515397320275939,0.006775858870114991,0.005772940936826549,0.005281861457202132,0.004616276852057279,0.003853384556101776,0.003132658926164222,0.002615630728990296,0.0021128743264686,0.002001294841005721,0.001643202538822525,0.001329223056473492,0.001020433317634359,0.0007362948604672586,0.0006033076830260357,0.0004476153777289942,0.0003775538403453255,0.0002264025606194478,0.0001699640999492703,0.0001232564083601578,0.0005150820433577121,
