행정구역별,2016,2017,2018,2019
전국,152523,164512,197088,224328
서울,45507,46712,54003,57322
부산,10463,11285,13391,15177
대구,7970,8506,9780,10451
인천,6932,7674,9436,11022
광주,5435,5817,6855,8031
대전,5295,5654,6727,7631
울산,2907,2973,3661,4275
세종,692,764,1049,1461
경기,32976,36334,44217,51271
강원,4174,4694,5896,7223
충북,3179,3511,4528,5562
충남,4000,4759,5770,7060
전북,4273,4652,5794,6800
전남,3534,4069,4947,6135
경북,5714,6328,7703,8996
경남,7052,8019,9802,11583
제주,2420,2761,3529,4328
