"음식 및 음료 주요 업종별(1)","객석수별(1)",2018,2019
"한식 음식점업","전체",29209,30927
"외국식 음식점업","전체",7561,7476
"제과점업","전체",7354,7390
"피자, 햄버거, 샌드위치 및 유사 음식점업","전체",11576,12468
"치킨전문점","전체",25110,25687
"김밥, 기타 간이음식점 및 포장 판매점","전체",13077,13371
"생맥주 및 기타 주점업","전체",11676,9965
"커피 및 기타 비알코올 음료점업","전체",17615,18350
