"품목별(1)",품목별(2),품목별(3),2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04
"품목별(1)",품목별(2),품목별(3),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
"비식용원재료(연료제외)",달리 명시되지 않은 미가공 동식물성 물질,소계,29071,89549,28461,75674,52065,87629,40005,87780,37648,78464,52726,80557,59351,89279,35847,77371,38228,76677,41447,90655,43039,74864,46214,86092,34304,89785,32677,66836,49972,98494,42278,85979
"비식용원재료(연료제외)",달리 명시되지 않은 미가공 동식물성 물질,달리 명시되지 않은 미가동 동물성 물질,4004,37041,2537,20363,7856,28366,7255,25584,5151,24668,10814,24009,9668,25728,4356,21110,5297,24868,7664,30172,5221,23929,6706,22565,3114,27636,2236,15604,4519,24744,3946,21733
"비식용원재료(연료제외)",달리 명시되지 않은 미가공 동식물성 물질,달리 명시되지 않은 미가공 식물성 물질,25067,52508,25923,55311,44209,59263,32751,62197,32497,53796,41912,56548,49683,63551,31491,56261,32931,51809,33783,60484,37817,50935,39507,63526,31190,62149,30441,51232,45453,73750,38332,64246
"광물성연료,윤활유 및 관련물질",석탄코크 및 연탄,소계,3782,961461,32,754725,7784,822747,6604,955437,3356,810785,3107,744697,3026,789321,3308,708253,3157,806603,94,706881,1134,717745,43,804078,61,653063,8783,709169,8411,1036475,29326,864630
"광물성연료,윤활유 및 관련물질",석탄코크 및 연탄,석탄,30,951151,5,748466,4,812533,10,946782,-,803318,-,738585,-,781470,12,700374,9,799278,33,698991,-,710531,5,797964,18,642815,3,700195,41,1023937,7,852350
"광물성연료,윤활유 및 관련물질",석탄코크 및 연탄,석탄갈탄 및 토탄,18,1231,-,1407,23,1192,-,1822,-,2214,-,1682,-,2053,-,2167,-,1618,0,1830,5,879,0,1045,24,1374,0,2563,23,2316,0,1471
"광물성연료,윤활유 및 관련물질",석탄코크 및 연탄,석탄갈탄또는 토탄의 코크 및 반성코크 : 분류카아본,3734,9078,28,4851,7756,9022,6594,6833,3356,5252,3107,4430,3026,5798,3296,5712,3148,5707,61,6060,1129,6336,37,5069,19,8874,8780,6411,8346,10222,29319,10809
"광물성연료,윤활유 및 관련물질",석유석유제품 및 관련물질,소계,3429008,8685913,2824627,7526050,2384757,5988475,1518181,3814331,1214774,2649582,1722038,2949972,2122884,4394527,2047566,4484295,1999079,4749828,1697761,4225138,1819157,3736020,2163434,4837996,1929950,5282642,2463742,5709701,2829030,6191982,2996147,7385831
"광물성연료,윤활유 및 관련물질",석유석유제품 및 관련물질,원유 및 역청질 광물원유,3,6385195,0,5676717,0,4556077,-,3020539,-,2003633,-,2128237,-,3339463,-,3503872,-,3592944,-,3545772,-,2901558,-,3807670,-,3940146,-,4219053,-,4496839,-,5412885
"광물성연료,윤활유 및 관련물질",석유석유제품 및 관련물질,석유와 역청유(원유를 제외) 및 이들의 조제품,3238804,2187825,2640531,1745126,2200589,1328299,1409320,741169,1096076,606266,1568299,767930,1959125,1003302,1909639,926112,1852711,1095488,1576135,623309,1682075,773857,2035933,939536,1771476,1255466,2290107,1374766,2662827,1583468,2851442,1841878
"광물성연료,윤활유 및 관련물질",석유석유제품 및 관련물질,달리 명시되지 않은 않은 잔여 석유생산물 및 관련물질,190201,112893,184095,104207,184168,104100,108861,52623,118698,39682,153739,53804,163759,51762,137927,54310,146368,61396,121627,56058,137082,60605,127501,90790,158474,87030,173635,115882,166203,111675,144706,131068
"광물성연료,윤활유 및 관련물질",천연가스 및 제조가스,소계,46867,2414658,31126,2395789,34092,1942931,35224,1695327,33531,1573325,31777,1344576,29273,1148219,29496,833699,37762,1030588,37933,1318440,36426,1375365,36774,1854957,43036,2235746,33122,3149603,31015,2165171,29129,1468066
"광물성연료,윤활유 및 관련물질",천연가스 및 제조가스,액화프로판 및 부탄,40087,456158,27084,273026,29163,289590,32551,204841,29519,180686,26261,194256,26082,236193,25882,204359,34375,245850,33695,241789,33326,249452,31491,310488,32786,380923,24791,389347,23043,313633,19648,357976
"광물성연료,윤활유 및 관련물질",천연가스 및 제조가스,천연개스,-,1949108,-,2110180,-,1636739,1039,1481172,1811,1389046,812,1145192,-,906099,973,620816,1660,772814,835,1061443,23,1117854,778,1527909,0,1830571,0,2742246,2164,1838854,0,1095675
"광물성연료,윤활유 및 관련물질",천연가스 및 제조가스,기타 석유가스 및 달리 명시되지 않은 기타 가스성 탄화수소,6706,9392,3994,12583,4854,16602,1600,9314,2178,3593,4689,5128,3143,5927,2625,8525,1704,11923,3369,15208,3051,8059,4450,16560,10232,24252,8291,18010,5756,12684,9450,14415
"광물성연료,윤활유 및 관련물질",천연가스 및 제조가스,석탄가스수성가스발생로가스 및 유사가스,73,-,48,-,75,-,34,-,22,-,15,-,47,-,16,-,24,-,34,-,26,-,56,-,19,-,40,-,52,-,32,-
"동식물성유지 및 왁스",동물성 유지,소계,1534,5409,601,4991,469,3253,556,4900,1114,4810,1572,1762,885,4805,1671,3451,1075,2811,1974,4532,1403,5074,876,5356,1048,4470,1158,4721,4174,6593,1841,6611
"동식물성유지 및 왁스",동물성 유지,동물성 유지,1534,5409,601,4991,469,3253,556,4900,1114,4810,1572,1762,885,4805,1671,3451,1075,2811,1974,4532,1403,5074,876,5356,1048,4470,1158,4721,4174,6593,1841,6611
"동식물성유지 및 왁스",불휘발성 식물성기름조유정제 또는 분획된 것,소계,2525,99011,3513,85822,3120,121477,3612,96608,2410,79111,3187,87747,3359,124150,2534,77820,2920,104371,2659,71060,2970,89870,2809,95505,3335,109211,3491,154834,3720,126663,3690,156157
"동식물성유지 및 왁스",불휘발성 식물성기름조유정제 또는 분획된 것,연성불휘발성 식물성기름,2043,52838,3012,37170,2608,64747,2853,41040,1956,37213,2650,42742,2813,65289,1999,31370,2455,60459,2069,41618,2577,50536,2187,40689,2898,56786,3075,65209,3154,74393,3098,69233
"동식물성유지 및 왁스",불휘발성 식물성기름조유정제 또는 분획된 것,불휘발성의 식물성유지가공하지 않은것조상정제 또는 분별한것,482,46173,502,48652,512,56730,759,55569,455,41899,537,45005,546,58860,535,46450,465,43913,590,29443,393,39334,622,54815,438,52425,416,89625,566,52269,593,86925
"동식물성유지 및 왁스",달리 분류되지 않은 동식물성유지처리한 것,소계,1870,9493,3828,7548,5483,9869,3489,13851,2227,9548,3364,9835,3450,8320,4533,7821,3302,8133,3567,9145,3001,9659,2398,12209,1437,12552,2346,12115,3248,16774,3473,14633
"동식물성유지 및 왁스",달리 분류되지 않은 동식물성유지처리한 것,달리 분류되지 않은 동식물성유지처리한 것왁스,1870,9493,3828,7548,5483,9869,3489,13851,2227,9548,3364,9835,3450,8320,4533,7821,3302,8133,3567,9145,3001,9659,2398,12209,1437,12552,2346,12115,3248,16774,3473,14633
"화학물 및 관련제품",유기화학물,소계,1572465,1047996,1430583,897589,1351928,1127595,1093128,1045426,1050127,867006,1220655,892524,1266607,965719,1123187,908249,1260747,1004807,1173781,1013576,1161782,1241960,1431780,1316193,1434818,1266672,1579918,1138190,2008004,1417163,1893448,1491500
"화학물 및 관련제품",유기화학물,달리 명시되지 않은 탄화수소 및 그 유도체,931275,192110,806524,196263,678286,188469,545949,182629,532364,112014,613490,156303,649204,203263,567069,221159,656890,215113,570350,211079,567885,363841,704145,374008,755409,278429,812078,203724,1050832,236818,1093151,297126
"화학물 및 관련제품",유기화학물,알콜페놀-알콜 및 그들의 할로겐화,134655,229329,109580,228786,120285,250673,114959,225734,120247,196674,141357,195862,135396,203454,97061,191459,108337,220082,91470,201684,82761,219340,113652,263713,144064,263719,155430,295588,207655,317669,195487,330592
"화학물 및 관련제품",유기화학물,카르복시산과 그들의 무수물.할로겐화물.과산화물과 과산화산,230725,102499,255204,80858,258845,113481,202423,107724,174362,92767,223288,91825,214319,104400,201737,90105,203542,94162,207796,91859,206818,104225,233366,124844,207513,123961,258850,126478,316138,162523,238844,172461
"화학물 및 관련제품",유기화학물,질소관능화합물,137552,153300,114274,126241,116388,196610,86962,170530,77632,152986,102802,142908,103642,141883,101480,125633,127285,140733,131121,155924,114743,162534,166576,189922,141105,177137,152155,167267,216961,226994,157266,227929
"화학물 및 관련제품",유기화학물,유기-무기화합물헤테르고리화합물헥산,71430,266587,84137,171019,103371,268413,86423,265950,99378,216847,91326,215049,107267,219806,94166,180622,88534,224757,90629,244741,116258,290468,130402,252922,99263,309418,116923,226391,111482,334872,103552,321491
"화학물 및 관련제품",유기화학물,기타 유기화합물,66828,104172,60863,94421,74754,109949,56412,92858,46143,95718,48392,90576,56780,92912,61674,99270,76160,109960,82415,108290,73318,101551,83639,110784,87464,114008,84481,118741,104938,138286,105147,141900
"화학물 및 관련제품",무기화학물,소계,432517,776365,383323,464825,494861,626836,379799,547832,328047,476328,372568,457935,407570,614532,419827,468257,497063,538894,476871,664501,501507,743925,556135,892060,527296,688433,522269,655721,612664,792745,633459,886424
"화학물 및 관련제품",무기화학물,무기화학원소산화물 및 할로겐염,163122,360075,125990,290698,165177,414031,112081,339276,95697,307054,106820,276147,117408,322965,122849,299337,148711,334791,133829,375791,122263,442931,137011,414480,139125,450695,131601,419914,165748,528561,163103,528717
"화학물 및 관련제품",무기화학물,무기산의 금속염 및 과산화염,47741,111515,50364,79758,58180,102051,50980,102626,39440,91983,52725,99988,55898,78178,60390,72300,57828,108395,50968,101147,54364,109075,55642,105032,47289,99994,67163,114821,83156,115522,78894,126624
"화학물 및 관련제품",무기화학물,기타 무기화학물,218796,107655,204688,81417,268136,97089,212832,92381,188404,64997,208543,70364,230091,77873,232867,74506,285456,83136,286843,80923,320698,105254,360175,86473,337236,83299,320035,101136,358989,134621,381733,141333
"화학물 및 관련제품",무기화학물,방사선 및 관련물질,2857,197120,2281,12952,3368,13665,3905,13548,4505,12296,4481,11437,4173,135516,3721,22113,5068,12572,5232,106640,4181,86665,3307,286076,3646,54445,3470,19850,4771,14042,9729,89750
"화학물 및 관련제품",염료유연제 및 착색제,소계,203749,184743,220819,165368,235489,256249,181080,214766,151911,161436,176855,205618,209612,205926,194242,185312,231966,200204,239186,200811,263670,220418,263283,249535,257533,204609,268418,204974,302396,258027,292134,260678
"화학물 및 관련제품",염료유연제 및 착색제,합성유기착색제와 그 조제품,54131,62567,64217,50480,68639,104904,44672,69836,35250,43465,38433,65371,48887,78684,48314,76904,56104,71704,57754,69249,62558,85891,66549,104460,64833,71983,59968,67475,69034,86236,67524,91588
"화학물 및 관련제품",염료유연제 및 착색제,염료유연제엑스 및 합성유연제,590,6159,347,4674,699,8634,693,5611,501,7285,326,7940,488,5450,707,4874,908,6416,752,7688,930,4887,753,6024,1583,4525,502,7847,663,6000,1127,7452
"화학물 및 관련제품",염료유연제 및 착색제,안료페인트 니스 및 관련물질,149028,116016,156255,110215,166151,142711,135715,139319,116160,110687,138096,132308,160237,121791,145221,103534,174954,122083,180680,123874,200182,129641,195982,139051,191117,128101,207948,129652,232699,165791,223483,161639
"화학물 및 관련제품",의약품 및 약제제품,소계,418337,713409,398795,624327,585583,795896,513689,708222,629527,646229,566653,754361,555412,750646,576700,603709,746035,708018,622914,749072,753940,747367,1060163,753028,750860,760551,759851,589051,880941,851231,531849,770457
"화학물 및 관련제품",의약품 및 약제제품,의약품 및 약제제품(542항 의약품 제외),355824,364785,303332,294599,495705,383751,412105,361102,547569,340016,476423,367470,449145,392270,507342,281539,669147,341029,548743,350347,680330,380040,970100,394378,687197,386627,693824,238266,795739,400960,450547,376579
"화학물 및 관련제품",의약품 및 약제제품,의약품(수의약품 포함),62513,348625,95463,329728,89877,412145,101583,347119,81957,306212,90230,386891,106266,358376,69358,322171,76888,366989,74171,398725,73610,367327,90063,358651,63663,373924,66027,350785,85201,450271,81303,393878
"화학물 및 관련제품",정유 및 향료,소계,524304,216727,595037,207813,838830,224493,642996,213947,632644,189649,620102,212045,661826,217772,636159,196159,905958,213500,787784,213081,828355,209231,761258,235737,825947,218218,687870,204777,938503,246470,969841,250918
"화학물 및 관련제품",정유 및 향료,정유 및 향료,1677,22365,2375,23351,2748,29234,3266,27384,1721,28308,1945,28444,2614,26430,2504,19005,2660,20963,4068,24606,3374,21861,2283,26610,3322,22564,2226,23716,3283,26569,2702,25514
"화학물 및 관련제품",정유 및 향료,향수 및 화장품화장용품(비누제외),457411,145213,511414,134052,751086,131773,549864,122813,550810,106444,539886,121283,582040,127440,564102,123310,817104,134287,707995,133919,741319,127859,672617,144449,741965,135771,610873,121196,838449,141890,869326,147984
"화학물 및 관련제품",정유 및 향료,비누세척 및 광택제,65216,49149,81248,50410,84996,63486,89866,63750,80112,54897,78271,62318,77172,63902,69552,53845,86193,58250,75720,54556,83662,59510,86358,64678,80661,59883,74771,59866,96771,78012,97813,77420
"화학물 및 관련제품",비료,소계,18630,69692,36695,58588,27174,47757,24901,71032,23671,40694,30262,39039,15000,49420,28176,26898,34618,27615,19265,26230,18475,49931,22667,40735,32324,49539,34196,73232,29522,51693,20887,67153
"화학물 및 관련제품",비료,비료(272항의 것 제외),18630,69692,36695,58588,27174,47757,24901,71032,23671,40694,30262,39039,15000,49420,28176,26898,34618,27615,19265,26230,18475,49931,22667,40735,32324,49539,34196,73232,29522,51693,20887,67153
"화학물 및 관련제품",플라스틱(원료형태의 것),소계,1658055,392022,1619689,364762,1835611,457530,1489287,405242,1331898,354640,1544614,381793,1691001,372450,1622416,303347,1849360,366985,1759930,398630,1738619,394134,2025801,439202,2013567,420536,2113819,438340,2580359,534843,2551933,543655
"화학물 및 관련제품",플라스틱(원료형태의 것),에틸렌의 중합체(일차제품의 것),331615,57916,303024,51379,356783,58444,296184,55745,297234,57242,319117,57994,350947,56195,338530,45606,370970,41590,362455,51232,336159,51186,365980,48760,353709,49609,403188,54433,513255,64234,524156,64244
"화학물 및 관련제품",플라스틱(원료형태의 것),스티렌의 중합체(일차제품의 것),260628,13228,250762,9443,270583,15379,204510,13347,177876,11604,244859,11926,265399,9190,249391,9786,293516,11100,274613,13264,285054,14528,325888,15615,339155,14182,325432,12946,410817,15452,409690,16569
"화학물 및 관련제품",플라스틱(원료형태의 것),염화비닐의 중합체 또는 할로겐화올레 핀의 중합체(1차제품의 것),40945,35971,44141,33118,48386,42659,38461,29237,37742,27706,35410,34290,46093,38190,51968,29193,53686,31123,59824,34329,52197,34053,57457,34366,84942,28933,73539,32485,84630,39977,68741,39939
"화학물 및 관련제품",플라스틱(원료형태의 것),아세탈수지.기타 폴리에테르와 에폭시 수지,376786,83007,373453,77648,435414,99735,338381,90143,271906,67083,343840,74572,389257,71921,368869,69859,433029,81588,414636,83065,424830,89002,495884,94612,494659,97650,530677,99202,620035,122651,602603,143131
"화학물 및 관련제품",플라스틱(원료형태의 것),기타 프라스틱(일차제품의 것),647804,197854,647903,189810,724042,236873,611435,212668,546686,188562,600631,200483,638674,194302,613251,146794,697591,199594,647694,214558,639526,202576,779505,243169,740344,227733,780295,237339,950062,289631,945071,276794
"화학물 및 관련제품",플라스틱(원료형태의 것),플라스틱의 웨이스트.페어링과 스크램,276,4046,407,3365,402,4440,316,4101,453,2443,757,2527,631,2653,406,2110,569,1989,709,2181,853,2788,1087,2679,759,2429,688,1935,1560,2899,1670,2978
"화학물 및 관련제품",원료형태가 아닌 플라스틱,소계,594170,300253,577291,282083,674578,340765,534954,352197,451565,286286,553557,326021,668981,355208,623161,350944,722177,370223,667618,374239,676772,384830,743631,406553,680811,356426,636878,369046,733290,418553,693983,402251
"화학물 및 관련제품",원료형태가 아닌 플라스틱,플라스틱의 관.파이프 및 호오스,32479,27067,27015,23758,32269,27910,30030,26678,22077,26043,23031,26625,27076,28188,23582,26047,28011,23480,25785,23975,25860,25610,27153,28155,26040,26063,24261,25799,29711,33060,30033,31771
"화학물 및 관련제품",원료형태가 아닌 플라스틱,플라스틱제의 판쉬이트필름박 및 스트¿,558391,269704,546292,255673,638652,307957,502149,320997,426719,256175,527853,293866,638013,322471,596384,320841,691010,342659,638780,346864,647467,355252,712231,373290,651128,324973,608952,339198,698616,380284,659589,364616
"화학물 및 관련제품",원료형태가 아닌 플라스틱,플라스틱의 모노필라멘트,3299,3481,3984,2651,3657,4899,2775,4522,2769,4068,2673,5529,3892,4548,3196,4056,3155,4083,3052,3401,3445,3968,4246,5109,3643,5390,3664,4049,4963,5210,4362,5864
"화학물 및 관련제품",달리 명시되지 않은 화학물질 및 제품,소계,398451,643932,420663,646909,545217,791977,715521,747435,619258,672998,637010,699414,605713,738517,670078,664302,761555,651681,688048,729858,744113,717789,819758,802495,670555,755336,581829,720439,728053,949850,735375,787471
"화학물 및 관련제품",달리 명시되지 않은 화학물질 및 제품,살충제.살서제(쥐약).살균제,35347,23201,45761,15182,56524,26641,95870,15633,123342,11647,125531,11675,93164,14713,81112,6918,38586,17687,37057,15428,31279,21347,36730,21655,50847,25699,51166,15068,68541,22734,101698,21393
"화학물 및 관련제품",달리 명시되지 않은 화학물질 및 제품,전분이눌린 및 글루우텐단백질물질 아교,56311,56484,59061,58892,68645,73016,56068,71905,47232,73452,56391,80217,71695,79207,67703,67714,87033,77602,80437,81562,78218,88223,76494,96811,77690,69870,66870,67690,83398,87126,76129,79175
"화학물 및 관련제품",달리 명시되지 않은 화학물질 및 제품,화약 및 불꽃제품,1439,3966,2363,3275,2222,10177,2204,2062,1820,3250,2559,4565,1564,4072,1231,1532,1309,5374,994,2387,1600,4142,2697,5693,1890,5968,438,2537,4158,6485,2613,3987
"화학물 및 관련제품",달리 명시되지 않은 화학물질 및 제품,광물유첨가제 및 유사품,19431,52913,20408,49591,25766,57652,17800,47940,12419,51192,12208,49247,17204,50122,16116,37665,20767,35868,17876,49952,22499,51289,25822,55622,22415,56500,22363,53540,38272,63730,24966,46672
"화학물 및 관련제품",달리 명시되지 않은 화학물질 및 제품,달리 명시되지 않은 화학잡제품,285923,504215,293070,515619,392060,620861,543579,605351,434444,528751,440320,551094,422085,587946,503916,548081,613860,513091,551683,578318,610516,548307,678014,619442,517713,593726,440991,577649,533684,767022,529968,632534
"화학물 및 관련제품",달리 명시되지 않은 화학물질 및 제품,달리 명시되지 않은 화학물질의 폐기물 도시쓰레기 오수침전물 및 기타 쓰레기,0,3153,0,4349,1,3630,0,4544,0,4706,0,2617,1,2457,0,2392,0,2059,0,2213,1,4481,0,3273,1,3572,1,3955,1,2753,0,3710
"재료별 제조제품",가죽제품 및 손질모피,소계,32243,21154,31782,18542,28875,23070,18768,18456,13776,22132,20150,31700,26057,29844,19532,28997,30579,28350,31204,28254,25742,27727,35309,30870,29224,28265,28250,23822,34631,30056,33256,33087
"재료별 제조제품",가죽제품 및 손질모피,가 죽,29436,12323,29056,13543,25694,16002,15925,8948,11402,8614,17571,17340,23173,14929,16205,14949,26654,14480,27538,13190,21614,13076,31746,15868,25778,14828,25344,14675,30908,19415,30198,18308
"재료별 제조제품",가죽제품 및 손질모피,달리 명시되지 않은 가죽제품,2776,7598,2707,4533,3179,6720,2812,8125,2373,8505,2538,10077,2741,8890,2615,8263,3727,10415,3666,12355,3990,12038,3465,12315,3445,11630,2906,8361,3723,8801,3057,11429
"재료별 제조제품",가죽제품 및 손질모피,모피(유연처리 또는 완성가공한 것),30,1234,18,467,2,347,31,1383,1,5012,42,4284,142,6026,712,5785,199,3455,-,2708,138,2612,98,2687,0,1807,0,786,0,1840,0,3350
"재료별 제조제품",달리 명시되지 않은 고무제품,소계,333419,122196,361647,109002,356473,143966,200497,135979,193910,126030,317920,137934,357867,153380,321207,125054,393333,133583,372283,141337,364886,149567,370180,158729,360741,133538,335679,131201,403576,180091,366375,166684
"재료별 제조제품",달리 명시되지 않은 고무제품,고 무,32405,14868,32909,14274,34943,18665,25208,14868,15371,14386,21745,18340,29967,17107,25545,13675,38991,14944,36879,14452,39230,15654,41146,16828,38432,15811,33984,15070,41772,19395,40392,17845
"재료별 제조제품",달리 명시되지 않은 고무제품,고무타이어호환성타이어 트레드타이어풀랩 및 인너튜브,246344,70794,276225,63950,264269,82591,138070,81287,149710,77851,260026,83193,276005,99081,252301,77422,291811,84370,275460,90880,262930,92850,266873,94478,266716,78025,251730,78477,302806,113535,270585,100803
"재료별 제조제품",달리 명시되지 않은 고무제품,달리 명시되지 않은 고무제품,54670,36534,52513,30778,57261,42710,37219,39824,28830,33793,36150,36400,51895,37193,43361,33957,62532,34269,59944,36004,62725,41062,62161,47423,55593,39703,49965,37655,58999,47161,55398,48036
"재료별 제조제품",코크 및 나무제품,소계,4891,113495,6652,90812,6063,121489,5135,125341,3807,133646,6801,120529,6144,113870,4506,96323,5089,98386,5053,93071,6147,96593,5398,117215,5694,115822,5315,118486,5854,131154,5857,160644
"재료별 제조제품",코크 및 나무제품,코르크제품,73,398,12,246,9,353,5,196,1,188,2,319,10,393,1,198,28,334,6,312,15,239,6,261,23,221,81,248,15,390,11,295
"재료별 제조제품",코크 및 나무제품,단판합판파티클보드 및 달리 명시되지 않은 기타 가공목재,1368,87721,2387,77228,2165,98614,2247,99408,1589,107297,1423,93764,2228,88557,1213,74321,1367,74747,1574,69916,1928,71704,2092,89411,1325,87394,1540,93769,1969,102469,1850,128139
"재료별 제조제품",코크 및 나무제품,달리 명시되지 않은 나무제품,3449,25376,4253,13339,3890,22522,2883,25736,2217,26161,5377,26445,3907,24921,3292,21805,3694,23305,3472,22844,4204,24650,3300,27542,4346,28206,3694,24468,3871,28294,3997,32210
"재료별 제조제품",종이판지 및 펄프,소계,227850,178657,241726,145275,269319,188021,233535,174656,180318,167286,194652,182392,195539,179578,180870,158271,206885,171249,200178,174333,202168,177957,206830,189790,185660,190893,192679,179218,241689,221251,236454,213898
"재료별 제조제품",종이판지 및 펄프,종이 및 판지,190905,113644,199093,102459,222095,127364,186074,115880,143427,111180,153800,119795,158473,116681,148292,101557,164126,109598,165007,112402,163085,109376,166597,117946,150458,117939,153071,115147,193916,150189,192957,144166
"재료별 제조제품",종이판지 및 펄프,종이 및 판지 크기로 재단한 것 및 종이 또는 판지의 제품,36946,65013,42633,42816,47224,60657,47461,58776,36892,56107,40853,62597,37065,62897,32578,56714,42759,61651,35171,61931,39082,68581,40233,71844,35201,72953,39608,64071,47772,71062,43497,69732
"재료별 제조제품",섬유사직물직물제품,소계,725325,432340,820813,312870,687366,550553,494068,459719,445122,444959,549398,604969,664669,573396,536849,475732,749637,493145,633289,481658,679362,477574,758979,504570,624857,478314,574616,414343,729394,547044,756569,556955
"재료별 제조제품",섬유사직물직물제품,섬유사,96742,161036,102011,125778,104401,167356,66963,126535,53845,99891,62479,118156,75965,128152,78587,112967,96566,118696,95215,123544,97065,128148,105801,148968,99465,155351,96639,147963,119486,197242,119862,192593
"재료별 제조제품",섬유사직물직물제품,면직물(세폭직물 또는 특수직물 제외),21084,25252,20949,18981,20436,24002,18998,20532,20268,20008,24903,26790,29539,31309,22081,28268,28409,29299,28830,28846,31879,26248,34838,27598,27666,22246,23876,22813,27605,31530,27699,36783
"재료별 제조제품",섬유사직물직물제품,인조섬유직물,142485,33522,151728,20847,147225,30395,94240,26937,88225,21792,104615,30374,115790,29688,81464,25900,93299,28367,102578,29245,119476,31974,141913,36216,104019,30472,94557,23452,128467,32728,140471,33404
"재료별 제조제품",섬유사직물직물제품,기타 섬유직물,7477,24274,7798,19540,6745,26576,6995,22557,6870,20128,9916,32990,10148,32447,6918,27826,6064,18894,5333,20807,6601,26898,8424,23585,7658,23042,5494,23172,7966,29454,9144,35688
"재료별 제조제품",섬유사직물직물제품,달리 명시되지 않은 편직 또는 뜨게질 직물,198693,9826,190526,5710,192492,8761,126621,7453,115055,6962,144683,9229,199625,9948,143101,8879,192000,8450,179278,10421,190877,12825,215621,12341,165564,9028,144986,8047,188573,8437,223148,11597
"재료별 제조제품",섬유사직물직물제품,튤레이스자수울리본트리밍 및 기타 소비품,17657,4799,19262,3302,19421,5076,12624,4196,11224,5102,14167,5519,17190,5418,12986,5464,16843,5355,15368,5928,16408,5848,20232,6524,16632,5551,16676,4470,19196,5251,18058,5507
"재료별 제조제품",섬유사직물직물제품,특수사직물 및 관련제품,157303,90058,160969,71343,173546,102097,132566,104871,105127,102809,114638,158447,147115,177090,128209,145084,170625,159409,155392,141103,159827,126861,173383,125106,171269,117215,161546,98440,205321,130927,188047,115103
"재료별 제조제품",섬유사직물직물제품,달리 명시되지 않은 주로 섬유물질의 구성 제품,82269,75161,165032,41475,20739,177154,33083,137796,43146,160158,71911,214039,66796,150060,61361,111451,143655,114470,49716,109265,54608,108222,56227,113226,28393,106339,28342,76484,30298,100723,27379,113825
"재료별 제조제품",섬유사직물직물제품,마루덮개 등,1616,8412,2539,5894,2361,9136,1978,8842,1363,8110,2085,9426,2502,9284,2143,9893,2178,10205,1579,12500,2621,10550,2540,11004,4192,9071,2500,9501,2480,10753,2761,12456
"재료별 제조제품",달리 명시되지 않은 비금속광물,소계,273285,444269,268881,290091,316325,412414,260350,424035,238958,416194,257387,438502,278544,435802,260104,382309,302730,406291,291170,421208,300908,432705,320845,473106,297232,444123,287732,412006,331026,498846,308424,532060
"재료별 제조제품",달리 명시되지 않은 비금속광물,석회.시멘트 및 조립건축자재,19747,74975,21956,16657,18257,58242,13807,82489,17735,71294,19065,73445,14939,70003,17280,56668,23208,58259,22644,65954,18821,74768,24210,74114,15887,65539,18157,40966,17771,66646,10713,80773
"재료별 제조제품",달리 명시되지 않은 비금속광물,점토건설용 및 내화건설용 제품,4508,64659,3748,33837,9321,47980,5183,51553,4737,64361,3476,51005,6081,53817,3317,43713,6009,55474,6039,46569,5010,50367,6400,57457,4160,55533,4155,51653,5855,52415,3549,60796
"재료별 제조제품",달리 명시되지 않은 비금속광물,달리 명시되지 않은 광물제품,84977,114801,86658,88702,106164,112509,84999,112456,75685,95998,83551,103367,91641,97204,82254,85038,99435,92949,93181,107925,104431,102541,109642,116477,104127,108312,103293,109282,118798,121891,111472,140261
"재료별 제조제품",달리 명시되지 않은 비금속광물,유리,131070,115580,122572,97500,141907,125748,124695,110788,111657,114956,115806,131986,131241,135484,125185,122423,136764,124221,136601,127657,138003,130801,148916,142730,138933,133520,128902,131954,149408,170408,148441,152896
"재료별 제조제품",달리 명시되지 않은 비금속광물,유리제,28172,44813,26936,34283,33482,50289,26977,48118,25230,47300,30963,53156,29731,47103,27117,47789,32736,46584,27618,43821,28912,46006,27924,53301,29471,48104,27184,49684,32346,57586,30654,62837
"재료별 제조제품",달리 명시되지 않은 비금속광물,도자기,1324,17677,1358,11707,1355,10879,1248,11515,1244,14487,1191,13118,1466,15078,1248,14158,1209,15434,1095,16982,1682,16288,1364,17722,1468,19499,1430,16622,1412,14512,1404,18069
"재료별 제조제품",달리 명시되지 않은 비금속광물,진주(귀석 또는 반귀석가공하지 아니한 것 또는 가공한 것),3486,11764,5653,7406,5840,6766,3441,7116,2669,7798,3334,12425,3444,17113,3703,12520,3369,13371,3992,12300,4049,11933,2389,11305,3187,13615,4611,11844,5436,15388,2191,16428
