store,Latitude,Longitude
행복을담아요,37.4326048,126.7123605
카페인중독 논현점,37.4009116,126.719616
어브코우스,37.4672944,126.6991412
느린우체통,37.4612218,126.7712296
별빙와플,37.4559368,126.7143308
쁘띠아르,37.44754,126.69908
티룸 이든,37.4439771,126.7048462
팔공티 구월점,37.4565494,126.7128233
오늘더치,37.5051571,126.7236548
씨포(CFOUR) 케이크 인천 논현점,37.4031833,126.7241961
커피나무 남동공단점,37.4076159,126.694036
엔제리너스sk만수점,37.4551604,126.7323206
커피에 반하다 부평역점,37.4915538,126.7221053
COFFEEBOX,37.4431236,126.7346033
이디야 인천서창중앙점,37.4385446,126.7495893
커피온리 구월로데오점,37.4439785,126.701274
다와커피,37.451662,126.7069876
카페리벌티,37.4933206,126.7239297
더 벤티 인천모래내시장점,37.4555545,126.719732
컴포즈커피,37.476069,126.6408392
더벤티인천삼산점,37.50834,126.7330765
커피에반하다 인천삼산점,37.5079503,126.7354463
요거프레소 인천구월아시아드점,37.4715844,126.6282646
공감,37.4665404,126.7075654
엘플레이버,37.4652559,126.6929028
팔공티 삼산점,37.5082781,126.7320866
달려가는디저트달디(만수점),37.4442926,126.6986242
블리스버거 & 카페,37.4602806,126.6984067
더벤티인천간석시장점,37.4555545,126.719732
이디야커피 인천논현소래점,37.3997592,126.7360181
카페앤티크,37.459487,126.770489
미쓰리,37.4411937,126.7528654
"카페,이름",37.4512013,126.7018062
컴포즈커피인천논현점,37.4012047,126.7237433
컴포즈인천향촌점,37.4511452,126.7319657
엔제리너스소래포구점,37.4075703,126.7123859
인생와플,37.4636707,126.6805529
커피하우스,37.4120363,126.7020736
커피데이,37.444832,126.7067108
뺑부티크,37.3998103,126.7209971
어빌리지커피,37.4720783,126.6302882
달리는커피인천시청점,37.4506601,126.7028231
나우커피 인천미추홀구점,37.4636808,126.6504771
더커피,37.4455641,126.6957897
카페나드,37.4518178,126.7528634
공차인천서창점,37.424533,126.748958
포그커피,37.4907696,126.7222464
빽다방 모래내시장점,37.4483344,126.6769392
우주라이크커피 인천논현점,37.4058852,126.7242124
커피마마퀸,37.4933835,126.7181485
카페오달지다,37.4925195,126.7206765
커피위드인 삼산점,37.5121075,126.7379003
카페1981,37.4499252,126.6953129
나무,37.4501009,126.7072986
카페다온,37.4076159,126.6918473
인천논현경찰서 카페,37.3935583,126.7236602
네모와플,37.446295,126.6989223
팔공티 인천가좌점,37.4928655,126.6802545
끌당,37.4672973,126.6273921
논현길,37.4027103,126.7307315
감성커피,37.4610019,126.7322442
카페아띠,37.5110301,126.7313615
쥬씨 부평로데오점,37.4940864,126.725181
메가커피 한화에코점,37.4082788,126.7129917
메가엠지씨커피인천오류왕길점,37.5890784,126.6471738
원유로 스페셜티 인천논현역점,37.3999757,126.7221894
컴포즈 인천시청점,37.4530844,126.7021056
메가엠지씨커피인천오류왕길점,37.5890784,126.6471738
블루문카페,37.4502063,126.7049076
