"외식업종별(1)",외식업종별(2),2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4,2020 2/4,2020 3/4,2020 4/4,2021 1/4
"한식 음식점업",한식 일반 음식점업,74.10,72.45,70.52,69.60,69.08,68.11,69.97,70.95,58.96,60.21,59.41,55.49,67.20
"비알콜 음료점업",커피 전문점,-,-,-,-,82.64,82.05,81.47,81.51,58.72,63.90,58.52,57.37,73.96
