품목별(1),품목별(2),2018. 02,2018. 02,2018. 03,2018. 03,2018. 04,2018. 04,2018. 05,2018. 05,2018. 06,2018. 06,2018. 07,2018. 07,2018. 08,2018. 08,2018. 09,2018. 09,2018. 10,2018. 10,2018. 11,2018. 11,2018. 12,2018. 12,2019. 01,2019. 01,2019. 02,2019. 02,2019. 03,2019. 03,2019. 04,2019. 04,2019. 05,2019. 05,2019. 06,2019. 06,2019. 07,2019. 07,2019. 08,2019. 08,2019. 09,2019. 09,2019. 10,2019. 10,2019. 11,2019. 11,2019. 12,2019. 12
품목별(1),품목별(2),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
비식용 원재료(연료제외),기름용씨 및 기름함유 열매,69,48609,32,56031,57,59424,174,71485,865,51535,297,76399,524,62453,925,69173,116,96194,617,69704,461,99022,108,66980,59,43096,154,87029,151,62058,142,98807,120,88411,116,44796,63,68617,235,77328,611,64704,402,65160,592,69105
비식용 원재료(연료제외),생고무(합성 및 재생고무 포함),235238,86527,251898,94961,262194,86899,274212,88780,267075,94490,267916,90223,276016,93180,255851,74658,280614,99452,241257,99991,246307,86112,248674,90682,204926,73220,222532,77654,243521,86708,218772,91002,214223,83394,227846,96163,228800,92117,228745,82892,225219,80544,202413,83268,232483,72412
비식용 원재료(연료제외),콜크 및 나무,1750,150111,1938,159698,1914,175865,1745,196521,1946,183660,2006,183263,1630,186008,1437,172994,2565,206957,2339,197400,2154,175987,2150,194380,1794,132791,2231,155158,1852,164974,2460,163543,2105,149106,1756,155605,2056,141833,1727,118777,2107,142341,1910,129782,2208,141139
비식용 원재료(연료제외),펄프 및 폐지,6733,149976,6407,201715,9154,172141,9963,178649,14075,182711,13846,169470,17641,187705,15445,174354,18242,181053,21837,183168,19163,165596,8089,187396,7793,165873,10106,177456,10156,161170,7020,153683,5084,127993,5956,160870,6416,127963,7510,106411,7191,129528,6148,105414,8963,119809
비식용 원재료(연료제외),섬유 및 그 웨이스트,144735,63131,162041,81213,164548,73871,173137,76515,150872,73757,163129,76864,164848,74731,151727,57758,177095,74796,154087,65995,149735,67076,156906,71858,130046,56540,143812,74257,148064,75855,149224,67987,128067,56311,150807,63936,131990,48341,130056,37139,137417,49753,119865,52656,139113,52975
비식용 원재료(연료제외),미가공 비료 및 미가공 광물,21717,78348,22257,79598,22665,77240,24618,83045,24151,83659,25263,93967,24543,91482,20612,74324,27226,90172,28711,90089,26965,105351,26133,99217,22599,76675,21879,80954,23175,92063,22252,86224,20477,84233,24309,88916,19183,76990,17706,78681,20310,76233,14327,84477,13680,89430
비식용 원재료(연료제외),금속성 광석 및 금속 부스러기,81171,1709570,90057,1735114,101673,1853916,82469,1704063,84998,2044231,143661,1743990,61666,1835422,105512,1522764,63423,1873248,71495,1975588,99738,1747344,92853,1933038,57211,1600957,67758,1646872,75518,1643692,90921,1791424,75735,1908411,106240,2040274,104626,1856398,96169,1617825,78555,2015248,85412,1681876,133864,1957603
비식용 원재료(연료제외),달리 명시되지 않은 미가공 동식물성 물질,30163,64535,51082,83646,53251,77024,56178,95612,64009,66637,53684,81968,39142,89723,36140,68474,39694,88312,36436,81280,34009,68673,40452,91575,34596,59724,47196,88694,59799,86797,50202,85735,59740,79006,56199,87557,41321,88757,43454,65577,38368,88333,37203,73278,44894,82981
"광물성 연료, 윤활유 및 관련물질",석탄코크 및 연탄,5606,1266350,35,1496123,32,1550927,46,1293877,127,1304833,29,1347859,4440,1427560,29,1457656,5027,1323260,5458,1475478,8,1327621,72,1458808,7,1288093,56,1008535,88,1162953,15,1267671,29,1118649,48,1239886,11,1394629,32,971313,66,1216683,3594,1025044,56,1056427
"광물성 연료, 윤활유 및 관련물질",석유석유제품 및 관련물질,3412374,8143478,3130720,7056004,4044112,7419370,4036089,8652602,4172504,9257158,4035586,9322671,4343068,9307820,4349533,8288470,4632509,9803183,3985174,9643078,3576787,8068568,3661435,7221950,3070149,7478408,3092004,6963961,3970015,8047023,3610509,7818527,3103605,7527994,3651539,7396637,3661060,8211780,3597100,6525034,3412235,6686477,3520271,7324571,3375823,7767071
